"Passenger rail transport by type of transport"

"Total"	"Number of passengers (1000s)"	"Ireland"	..	..	..	..	..	..	..	..	..	..	..	..	25010	25625	25837	26143	25813	27124	27930	29467	32146	32765	31721	34206	..	..	..	37655	..	45511	44647	38812	38070	37222	66226	67251	70416	74257	76842	83150	..
"Total"	"Number of passengers (1000s)"	"Israel"	..	..	..	..	..	..	..	..	..	..	..	..	2524	2883	3439	3777	4281	4824	5100	5569	6382	8785	12698	15057	17540	19826	22898	26767	28351	31791	35136	..	..	..	..	..	..	..	..	64603	..
"Total"	"Number of passengers (1000s)"	"Italy"	..	..	..	..	..	..	..	..	..	..	..	..	429400	438000	440000	438000	455000	453065	454447	444440	425881	457000	478200	482800	491956	..	504402	516768	540298	557871	583955	586015	622283	522948	815594	814517	821721	829494	869299	..	..
"Total"	"Number of passengers (1000s)"	"Kazakhstan"	..	..	..	..	..	..	..	..	..	..	..	..	..	39900	39700	44000	41100	37400	31800	20117	15562	14283	15873	16066	14947	13888	..	16460	17754	18062	..	..	19561	20513	24353	28580	23229	22498	23073	..	..
"Total"	"Number of passengers (1000s)"	"Kyrgyzstan"	..	..	..	..	..	..	..	..	..	..	..	..	1439	1400	1700	2285	1072	784	1040	1004	635	445	589	630	448	392	331	345	457	436	646	..	711	597	549	..	..	..	..	..	..
"Total"	"Number of passengers (1000s)"	"Latvia"	..	..	..	..	..	..	..	..	..	..	..	..	144500	90685	83129	59612	55669	42296	34147	33034	30100	24862	18188	20137	21960	22961	23825	25915	27387	27380	26702	21504	20804	20447	19707	19730	19190	17065	17228	17494	18242
"Total"	"Number of passengers (1000s)"	"Lithuania"	..	..	..	..	..	..	..	..	..	..	..	..	43400	34982	21870	25148	18283	15236	14190	12557	12195	11527	8852	7718	7217	7005	6282	6081	5489	4478	4447	3819	3795	4127	4251	4346	4126	3790	3916	4176	4666
"Total"	"Number of passengers (1000s)"	"Luxembourg"	..	..	..	..	..	..	..	..	..	..	..	..	10044	10371	10400	10700	11300	11200	11127	11536	11735	12103	12985	13601	..	..	..	..	..	16442	..	..	17995	18200	..	..	..	..	..	..	..
"Total"	"Number of passengers (1000s)"	"Montenegro"	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	1285	927	..
"Total"	"Number of passengers (1000s)"	"Netherlands"	..	..	..	..	..	..	..	..	..	..	..	..	255656	329526	332500	320000	312000	358619	306481	289000	294000	301000	310000	319000	..	..	..	326100	..	..	..	..	..	..	..	378712	350767	361392	367079	390569	..
"Total"	"Number of passengers (1000s)"	"North Macedonia"	..	..	..	..	..	..	..	..	..	..	..	..	5055	3112	1875	1212	1247	1074	1550	1712	1416	1662	1862	1344	930	901	..	903	1011	1104	1448	1523	1512	1421	1013	853	803	1022	663	500	..
"Total"	"Number of passengers (1000s)"	"Norway"	29223	33484	37948	..	..	..	..	34822	..	..	..	..	34465	33429	37513	37514	37926	39593	40701	44744	46972	50019	49746	53100	..	..	..	..	..	..	59071	57937	58437	59385	62689	67251	70340	73836	74293	73561	77740
